"rowNumber","status","reason","Brand","MPN","GTIN"
"2","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS P2235DN",
"3","REVIEW_REQUIRED","Image dimensions are too small: 200x85.","Kyocera","ECOSYS P2235DW",
"4","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS P5026CDN",
"5","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS P5026CDW",
"6","REVIEW_REQUIRED","Image dimensions are too small: 200x85.","Kyocera","ECOSYS P8060CDN",
"7","DRY_RUN_READY","Image downloaded and validated; upload skipped because this is a dry-run.","Kyocera","FS-1061DN",
"8","REVIEW_REQUIRED","Image dimensions are too small: 200x85.","Kyocera","ECOSYS P4060DN",
"9","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS P4140DN",
"10","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA2100CWX",
"11","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA2100CX",
"12","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA4500X",
"13","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA5000X",
"14","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA5500X",
"15","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA6000X",
"16","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA3500CX",
"17","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA4000CX",
"18","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA4500CX",
"19","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","TASKalfa PA4500CI",
"20","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA4000WX",
"21","REVIEW_REQUIRED","Icecat returned HTTP 404; continuing to official page.","Kyocera","ECOSYS PA4000X",
